Date,Open,High,Low,Close,Volume
02/08/2021,"3,358.50","3,365.00","3,304.00","3,322.94","3,257,391"
02/05/2021,"3,319.00","3,377.00","3,302.71","3,352.15","3,620,808"
02/04/2021,"3,330.00","3,347.00","3,277.75","3,331.00","3,670,661"
02/03/2021,"3,425.01","3,434.00","3,308.62","3,312.53","7,088,781"
02/02/2021,"3,380.00","3,427.74","3,361.13","3,380.00","7,098,637"
02/01/2021,"3,242.36","3,350.26","3,235.03","3,342.88","4,160,212"
01/29/2021,"3,230.00","3,236.99","3,184.55","3,206.20","4,293,556"
01/28/2021,"3,235.04","3,301.68","3,228.69","3,237.62","3,149,228"
01/27/2021,"3,341.49","3,346.52","3,207.08","3,232.58","4,660,158"
01/26/2021,"3,296.36","3,338.00","3,282.87","3,326.13","2,955,235"
01/25/2021,"3,328.50","3,363.89","3,243.15","3,294.00","3,749,758"
01/22/2021,"3,304.31","3,321.91","3,283.16","3,292.23","2,821,914"
01/21/2021,"3,293.00","3,348.55","3,289.57","3,306.99","4,945,051"
01/20/2021,"3,181.99","3,279.80","3,175.00","3,263.38","5,309,835"
01/19/2021,"3,107.00","3,145.00","3,096.00","3,120.76","3,305,142"
01/15/2021,"3,123.02","3,142.55","3,095.17","3,104.25","4,243,995"
01/14/2021,"3,167.52","3,178.00","3,120.59","3,127.47","3,070,919"
01/13/2021,"3,128.44","3,189.95","3,122.08","3,165.89","3,321,244"
01/12/2021,"3,120.00","3,142.14","3,086.00","3,120.83","3,514,582"
01/11/2021,"3,148.01","3,156.38","3,110.00","3,114.21","3,669,095"
01/08/2021,"3,180.00","3,190.64","3,142.20","3,182.70","3,537,744"
01/07/2021,"3,157.00","3,208.54","3,155.00","3,162.16","3,514,545"
01/06/2021,"3,146.48","3,197.51","3,131.16","3,138.38","4,394,815"
01/05/2021,"3,166.01","3,223.38","3,165.06","3,218.51","2,655,548"
01/04/2021,"3,270.00","3,272.00","3,144.02","3,186.63","4,411,449"
12/31/2020,"3,275.00","3,282.92","3,241.20","3,256.93","2,957,206"
12/30/2020,"3,341.00","3,342.10","3,282.47","3,285.85","3,209,310"
12/29/2020,"3,309.94","3,350.65","3,281.22","3,322.00","4,872,933"
12/28/2020,"3,194.00","3,304.00","3,172.69","3,283.96","5,686,787"
12/24/2020,"3,193.90","3,202.00","3,169.00","3,172.69","1,451,917"
12/23/2020,"3,205.00","3,210.13","3,184.17","3,185.27","2,093,787"
12/22/2020,"3,202.84","3,222.00","3,180.08","3,206.52","2,381,781"
12/21/2020,"3,200.01","3,226.97","3,166.00","3,206.18","3,836,846"
12/18/2020,"3,243.99","3,249.42","3,171.60","3,201.65","5,995,713"
12/17/2020,"3,250.00","3,263.51","3,221.00","3,236.08","3,474,347"
12/16/2020,"3,176.01","3,247.00","3,163.68","3,240.96","4,427,616"
12/15/2020,"3,181.01","3,188.50","3,130.49","3,165.12","3,323,686"
12/14/2020,"3,143.00","3,190.47","3,126.00","3,156.97","4,155,794"
12/11/2020,"3,096.66","3,118.67","3,072.82","3,116.42","3,064,695"
12/10/2020,"3,088.99","3,142.10","3,076.00","3,101.49","3,030,186"
12/09/2020,"3,167.89","3,174.43","3,088.00","3,104.20","4,100,836"
12/08/2020,"3,158.90","3,184.13","3,120.02","3,177.29","3,286,303"
12/07/2020,"3,156.48","3,180.76","3,141.69","3,158.00","2,751,316"
12/04/2020,"3,198.21","3,198.21","3,158.76","3,162.58","2,913,611"
12/03/2020,"3,205.46","3,228.64","3,181.31","3,186.73","2,892,039"
12/02/2020,"3,221.65","3,232.00","3,173.26","3,203.53","3,129,304"
12/01/2020,"3,188.50","3,248.95","3,157.18","3,220.08","4,544,382"
11/30/2020,"3,208.48","3,228.39","3,125.55","3,168.04","4,063,916"
11/27/2020,"3,211.26","3,216.19","3,190.05","3,195.34","2,392,867"
11/25/2020,"3,141.87","3,198.00","3,140.26","3,185.07","3,790,403"
11/24/2020,"3,100.50","3,134.25","3,086.26","3,118.06","3,602,102"
11/23/2020,"3,116.70","3,139.75","3,065.46","3,098.39","4,708,887"
11/20/2020,"3,117.02","3,132.89","3,098.05","3,099.40","3,380,138"
11/19/2020,"3,105.31","3,125.00","3,080.92","3,117.02","3,010,270"
11/18/2020,"3,134.00","3,140.00","3,105.10","3,105.46","2,916,836"
11/17/2020,"3,183.55","3,189.25","3,135.26","3,135.66","3,444,735"
11/16/2020,"3,093.20","3,142.70","3,072.69","3,131.06","3,808,676"
11/13/2020,"3,122.00","3,141.72","3,085.39","3,128.81","3,762,587"
11/12/2020,"3,159.95","3,175.88","3,086.05","3,110.28","4,371,208"
11/11/2020,"3,061.78","3,139.15","3,050.00","3,137.39","4,366,923"
11/10/2020,"3,095.02","3,114.00","3,019.48","3,035.02","6,590,956"
11/09/2020,"3,231.03","3,289.00","3,112.11","3,143.74","7,190,406"
11/06/2020,"3,304.64","3,322.00","3,232.00","3,311.37","4,647,330"
11/05/2020,"3,319.97","3,366.80","3,288.88","3,322.00","5,789,285"
11/04/2020,"3,159.99","3,244.85","3,139.73","3,241.16","6,839,041"
11/03/2020,"3,018.53","3,074.90","2,980.98","3,048.41","4,897,880"
